model,split,average_precision,roc_auc,precision,recall,balanced_accuracy,alert_rate
logistic_regression,validation,0.11636403707278857,0.8416239619050897,0.1065184340554922,0.3918210415938483,0.6749805470623383,0.04626117077159096
logistic_regression,test,0.13286387256832025,0.8498213905905074,0.1575984990619137,0.29411764705882354,0.6352944258980121,0.027518767489648193
hist_gradient_boosting,validation,0.1473687994611531,0.8644737955271758,0.12711327134404057,0.42048234882908075,0.6918531585662565,0.04160164577939347
hist_gradient_boosting,test,0.17891647764478685,0.87389282495999,0.1743573861876742,0.3942577030812325,0.6831583018366912,0.033342626725731336
